 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              0,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               0,              0,         1,           1,          0
 3,             2,               0,              0,         2,           2,          0
 4,             4,               1,              0,         4,           4,          0
 5,             8,               5,           1002,         7,           7,          0
 6,            13,               9,              0,        10,          10,          0
 7,            15,              10,              0,        13,          13,          0
 8,            17,              11,              0,        15,          15,          0
 9,            20,              13,              0,        17,          17,          0
10,            21,              13,              0,        22,          22,          0
